 ga solution min 1.9600000000e+02 max 2.0400000000e+02  fvalue min 9.3289042698e-04  time 7.557675e+03 function evals 1479449
 ga solution min 1.9600001712e+02 max 2.0399998876e+02  fvalue max 1.0814679298e-03  time 7.611905e+03 function evals 1381219

Nodal information - optimization model
Node   X      Y     Restraints       Fx          Fy           U-x    U-y
 1    0.0    0.0    0    0           0.0          0.0                    0               0
 2    1.0    0.0    1    0           0.0          0.0           0.00031295035               0
 3    2.0    0.0    1    0           0.0          0.0           0.00046992558               0
 4    3.0    0.0    1    0           0.0          0.0           0.00056337684               0
 5    4.0    0.0    1    0           0.0          0.0           0.00062577675               0
 6    5.0    0.0    1    0           0.0          0.0           0.00066973448               0
 7    6.0    0.0    1    0           0.0          0.0           0.00070164818               0
 8    7.0    0.0    1    0           0.0          0.0           0.00072525339               0
 9    8.0    0.0    1    0           0.0          0.0           0.00074303852               0
10    9.0    0.0    1    0           0.0          0.0           0.00075698133               0
11   10.0    0.0    1    0           0.0          0.0           0.00076813025               0
12    0.0    0.8    1    1          10.0          0.0           0.00050526833      0.00011121162
13    1.0    0.8    1    1           0.0          0.0           0.00046472816      -3.1656693e-05
14    2.0    0.8    1    1           0.0          0.0           0.00053315704      -3.6570608e-05
15    3.0    0.8    1    1           0.0          0.0           0.00059760868      -3.215511e-05
16    4.0    0.8    1    1           0.0          0.0           0.0006473144      -2.8115516e-05
17    5.0    0.8    1    1           0.0          0.0           0.00068482975      -2.5773994e-05
18    6.0    0.8    1    1           0.0          0.0           0.0007130646      -2.4934091e-05
19    7.0    0.8    1    1           0.0          0.0           0.00073442314      -2.5622723e-05
20    8.0    0.8    1    1           0.0          0.0           0.00075092438      -2.8148961e-05
21    9.0    0.8    1    1           0.0          0.0           0.00076478138      -3.3217439e-05
22   10.0    0.8    1    1           0.0          0.0           0.00077997082      -4.352003e-05
23    0.0    1.5    1    1          10.0          0.0           0.00068371646      0.00016702086
24    1.0    1.5    1    1           0.0          0.0           0.00065272781      2.5880482e-05
25    2.0    1.5    1    1           0.0          0.0           0.00064237014      -3.1876682e-05
26    3.0    1.5    1    1           0.0          0.0           0.00066384198      -4.4120476e-05
27    4.0    1.5    1    1           0.0          0.0           0.00069166963      -4.5885742e-05
28    5.0    1.5    1    1           0.0          0.0           0.00071721378      -4.558717e-05
29    6.0    1.5    1    1           0.0          0.0           0.00073856758      -4.6174943e-05
30    7.0    1.5    1    1           0.0          0.0           0.0007559103      -4.8818427e-05
31    8.0    1.5    1    1           0.0          0.0           0.00077028567      -5.4655634e-05
32    9.0    1.5    1    1           0.0          0.0           0.0007833703      -6.5675449e-05
33   10.0    1.5    1    1           0.0          0.0           0.00079711788      -8.4054463e-05
34    0.0    2.3    1    1          10.0          0.0           0.00081516374      0.00019522315
35    1.0    2.3    1    1           0.0          0.0           0.00077988587      7.3297909e-05
36    2.0    2.3    1    1           0.0          0.0           0.00075412969      -9.2965781e-07
37    3.0    2.3    1    1           0.0          0.0           0.00074592913      -3.6085819e-05
38    4.0    2.3    1    1           0.0          0.0           0.00075177217      -5.036614e-05
39    5.0    2.3    1    1           0.0          0.0           0.00076331672      -5.7099502e-05
40    6.0    2.3    1    1           0.0          0.0           0.00077597173      -6.1962651e-05
41    7.0    2.3    1    1           0.0          0.0           0.00078801183      -6.8250846e-05
42    8.0    2.3    1    1           0.0          0.0           0.00079927025      -7.8236376e-05
43    9.0    2.3    1    1           0.0          0.0           0.00081018939      -9.4705146e-05
44   10.0    2.3    1    1           0.0          0.0           0.00082213449      -0.00012019143
45    0.0    3.0    1    1          10.0          0.0           0.00091322686      0.00021330813
46    1.0    3.0    1    1           0.0          0.0           0.00087982989      0.00010861813
47    2.0    3.0    1    1           0.0          0.0           0.00084886409      3.1435906e-05
48    3.0    3.0    1    1           0.0          0.0           0.00082809383      -1.686291e-05
49    4.0    3.0    1    1           0.0          0.0           0.0008190285      -4.4304586e-05
50    5.0    3.0    1    1           0.0          0.0           0.00081825851      -6.0270107e-05
51    6.0    3.0    1    1           0.0          0.0           0.00082216508      -7.1704097e-05
52    7.0    3.0    1    1           0.0          0.0           0.00082836053      -8.3042036e-05
53    8.0    3.0    1    1           0.0          0.0           0.00083573746      -9.7761176e-05
54    9.0    3.0    1    1           0.0          0.0           0.00084404616      -0.00011925211
