 particle swarm solution min 1.9600000000e+02 max 2.0400000000e+02  fvalue min 9.3345624357e-04  time 2.945501e+02 function evals 73600
 particle swarm solution min 1.9600000000e+02 max 2.0400000000e+02  fvalue min 1.0805282395e-03  time 2.828267e+02 function evals 71500

Nodal information - optimization model
Node   X      Y     Restraints       Fx          Fy           U-x    U-y
 1    0.0    0.0    0    0           0.0          0.0                    0               0
 2    1.0    0.0    1    0           0.0          0.0           0.00031299264               0
 3    2.0    0.0    1    0           0.0          0.0           0.00046998785               0
 4    3.0    0.0    1    0           0.0          0.0           0.00056347354               0
 5    4.0    0.0    1    0           0.0          0.0           0.00062603999               0
 6    5.0    0.0    1    0           0.0          0.0           0.00066969199               0
 7    6.0    0.0    1    0           0.0          0.0           0.00070153628               0
 8    7.0    0.0    1    0           0.0          0.0           0.000725067               0
 9    8.0    0.0    1    0           0.0          0.0           0.0007423981               0
10    9.0    0.0    1    0           0.0          0.0           0.00075647998               0
11   10.0    0.0    1    0           0.0          0.0           0.00076764058               0
12    0.0    0.8    1    1          10.0          0.0           0.00050532006      0.00011119536
13    1.0    0.8    1    1           0.0          0.0           0.00046474737      -3.166783e-05
14    2.0    0.8    1    1           0.0          0.0           0.00053319596      -3.6585137e-05
15    3.0    0.8    1    1           0.0          0.0           0.00059764834      -3.2133938e-05
16    4.0    0.8    1    1           0.0          0.0           0.00064726404      -2.8206266e-05
17    5.0    0.8    1    1           0.0          0.0           0.00068476591      -2.594324e-05
18    6.0    0.8    1    1           0.0          0.0           0.0007125064      -2.4871119e-05
19    7.0    0.8    1    1           0.0          0.0           0.00073395061      -2.551042e-05
20    8.0    0.8    1    1           0.0          0.0           0.00075040047      -2.7975964e-05
21    9.0    0.8    1    1           0.0          0.0           0.00076429484      -3.3240123e-05
22   10.0    0.8    1    1           0.0          0.0           0.00077962688      -4.3494979e-05
23    0.0    1.5    1    1          10.0          0.0           0.00068375288      0.0001669583
24    1.0    1.5    1    1           0.0          0.0           0.00065280448      2.5939767e-05
25    2.0    1.5    1    1           0.0          0.0           0.00064221527      -3.1899289e-05
26    3.0    1.5    1    1           0.0          0.0           0.00066383673      -4.4084813e-05
27    4.0    1.5    1    1           0.0          0.0           0.00069194706      -4.6057824e-05
28    5.0    1.5    1    1           0.0          0.0           0.00071674219      -4.552543e-05
29    6.0    1.5    1    1           0.0          0.0           0.00073811395      -4.6067744e-05
30    7.0    1.5    1    1           0.0          0.0           0.0007554188      -4.8706064e-05
31    8.0    1.5    1    1           0.0          0.0           0.00076981611      -5.4477613e-05
32    9.0    1.5    1    1           0.0          0.0           0.0007830205      -6.5749292e-05
33   10.0    1.5    1    1           0.0          0.0           0.00079669263      -8.4045644e-05
34    0.0    2.3    1    1          10.0          0.0           0.00081499842      0.00019510601
35    1.0    2.3    1    1           0.0          0.0           0.00077972727      7.3459542e-05
36    2.0    2.3    1    1           0.0          0.0           0.00075416278      -9.7221949e-07
37    3.0    2.3    1    1           0.0          0.0           0.00074547849      -3.5875726e-05
38    4.0    2.3    1    1           0.0          0.0           0.00075136166      -5.0341479e-05
39    5.0    2.3    1    1           0.0          0.0           0.00076296459      -5.6943672e-05
40    6.0    2.3    1    1           0.0          0.0           0.0007756087      -6.1818477e-05
41    7.0    2.3    1    1           0.0          0.0           0.00078740164      -6.8089222e-05
42    8.0    2.3    1    1           0.0          0.0           0.00079864267      -7.7995639e-05
43    9.0    2.3    1    1           0.0          0.0           0.00080970494      -9.4691936e-05
44   10.0    2.3    1    1           0.0          0.0           0.00082166945      -0.0001201926
45    0.0    3.0    1    1          10.0          0.0           0.00091265294      0.00021320374
46    1.0    3.0    1    1           0.0          0.0           0.00087921373      0.00010894312
47    2.0    3.0    1    1           0.0          0.0           0.0008483933      3.159459e-05
48    3.0    3.0    1    1           0.0          0.0           0.00082781662      -1.6720041e-05
49    4.0    3.0    1    1           0.0          0.0           0.0008185566      -4.4225428e-05
50    5.0    3.0    1    1           0.0          0.0           0.00081782701      -6.0131786e-05
51    6.0    3.0    1    1           0.0          0.0           0.00082164228      -7.1482078e-05
52    7.0    3.0    1    1           0.0          0.0           0.00082784083      -8.2874742e-05
53    8.0    3.0    1    1           0.0          0.0           0.00083530357      -9.7560323e-05
54    9.0    3.0    1    1           0.0          0.0           0.00084357053      -0.00011923739
55   10.0    3.0    1    1           0.0          0.0           0.0008533833      -0.00015086721
56    0.0    3.8    1    1          10.0          0.0           0.00099266958      0.00022643015
57    1.0    3.8    1    1           0.0          0.0           0.00096058077      0.00013494812
58    2.0    3.8    1    1           0.0          0.0           0.0009295738      5.9763011e-05
