 particle swarm solution min 1.9600000000e+02 max 2.0400000000e+02  fvalue min 8.3975524064e-01  time 2.528229e+01 function evals 27600
 particle swarm solution min 1.9600000000e+02 max 2.0400000000e+02  fvalue min 9.8502406604e-01  time 2.274974e+01 function evals 25500

Nodal information - optimization model
Node   X      Y     Restraints       Fx          Fy           U-x    U-y
 1    0.0    0.0    0    0           0.0          0.0                    0               0
 2    1.0    0.0    1    0           0.0          0.0           0.00045951488               0
 3    0.0    0.8    1    1          10.0          0.0           0.0058874632      0.0060406111
 4    1.0    0.8    1    1           0.0          0.0           0.0058028527      -0.0061294043
 5    0.0    1.5    1    1          10.0          0.0           0.020098607      0.011544209
 6    1.0    1.5    1    1           0.0          0.0           0.020093959      -0.011611861
 7    0.0    2.3    1    1          10.0          0.0           0.042117668      0.016476163
 8    1.0    2.3    1    1           0.0          0.0           0.042106065      -0.016539967
 9    0.0    3.0    1    1          10.0          0.0           0.071056855      0.020880393
10    1.0    3.0    1    1           0.0          0.0           0.071047478      -0.020930667
11    0.0    3.8    1    1          10.0          0.0           0.10618512      0.024778687
12    1.0    3.8    1    1           0.0          0.0           0.10616949      -0.024823038
13    0.0    4.5    1    1          10.0          0.0           0.14674564      0.028205782
14    1.0    4.5    1    1           0.0          0.0           0.14673202      -0.028243207
15    0.0    5.3    1    1          10.0          0.0           0.19206116      0.031191925
16    1.0    5.3    1    1           0.0          0.0           0.19204287      -0.031221792
17    0.0    6.0    1    1          10.0          0.0            0.2414735      0.033764603
18    1.0    6.0    1    1           0.0          0.0            0.2414553      -0.03379217
19    0.0    6.8    1    1          10.0          0.0           0.29441641      0.035959558
20    1.0    6.8    1    1           0.0          0.0           0.29440225      -0.035979464
21    0.0    7.5    1    1          10.0          0.0           0.35033301      0.037804135
22    1.0    7.5    1    1           0.0          0.0           0.35031825      -0.037817193
23    0.0    8.3    1    1          10.0          0.0           0.40871853      0.039329239
24    1.0    8.3    1    1           0.0          0.0           0.40870382      -0.039335317
25    0.0    9.0    1    1          10.0          0.0           0.46911668      0.040565195
26    1.0    9.0    1    1           0.0          0.0           0.46910228      -0.040564377
27    0.0    9.8    1    1          10.0          0.0           0.53111798      0.041542694
28    1.0    9.8    1    1           0.0          0.0           0.53110143      -0.041534544
29    0.0   10.5    1    1          10.0          0.0           0.59434783      0.042290523
30    1.0   10.5    1    1           0.0          0.0           0.59433129      -0.042277897
31    0.0   11.3    1    1          10.0          0.0           0.65850095      0.042841976
32    1.0   11.3    1    1           0.0          0.0           0.65848648      -0.042822006
33    0.0   12.0    1    1          10.0          0.0           0.72329833      0.043225786
34    1.0   12.0    1    1           0.0          0.0           0.72328402      -0.043199003
35    0.0   12.8    1    1          10.0          0.0           0.78851106      0.043472682
36    1.0   12.8    1    1           0.0          0.0           0.78849633      -0.043439024
37    0.0   13.5    1    1          10.0          0.0           0.85395608      0.043613123
38    1.0   13.5    1    1           0.0          0.0           0.85394129      -0.043572474
39    0.0   14.3    1    1          10.0          0.0           0.91949616      0.043677387
40    1.0   14.3    1    1           0.0          0.0           0.91948224      -0.043629938
41    0.0   15.0    1    1          10.0          0.0           0.98504325      0.043695837
42    1.0   15.0    1    1           0.0          0.0           0.98502407      -0.043641168
