 ga solution min 9.5000004036e-01 max 2.0599999965e+02  fvalue min 8.0075747053e+03  time 5.472933e+02 function evals 499239
 ga solution min 9.5000000000e-01 max 2.0599973892e+02  fvalue max -1.0361800990e+04  time 6.474393e+02 function evals 608489

Nodal information - optimization model
Node   X      Y     Restraints       Fx          Fy           U-x    U-y
 1    0.0    0.0    0    0           0.0          0.0                    0               0
 2    1.0    0.0    1    0           0.0          0.0           0.00045268751               0
 3    0.0    0.8    1    1          10.0          0.0           0.0061077387      0.0063611235
 4    1.0    0.8    1    1           0.0          0.0           0.0060513561      -0.006433108
 5    0.0    1.5    1    1          10.0          0.0           0.020993671      0.012156365
 6    1.0    1.5    1    1           0.0          0.0           0.021011555      -0.012194407
 7    0.0    2.3    1    1          10.0          0.0           0.044102218      0.017355025
 8    1.0    2.3    1    1           0.0          0.0           0.04410839      -0.017375721
 9    0.0    3.0    1    1          10.0          0.0           0.074522986      0.02199542
10    1.0    3.0    1    1           0.0          0.0           0.074527813      -0.021996761
11    0.0    3.8    1    1          10.0          0.0           0.11144025      0.026106714
12    1.0    3.8    1    1           0.0          0.0           0.11144393      -0.026089375
13    0.0    4.5    1    1          10.0          0.0           0.15408499      0.029720916
14    1.0    4.5    1    1           0.0          0.0            0.1540875      -0.029685627
15    0.0    5.3    1    1          10.0          0.0           0.20173613      0.032870064
16    1.0    5.3    1    1           0.0          0.0           0.20173749      -0.03281756
17    0.0    6.0    1    1          10.0          0.0           0.25372071      0.035586231
18    1.0    6.0    1    1           0.0          0.0           0.25372089      -0.035517232
19    0.0    6.8    1    1          10.0          0.0            0.3094138      0.037901462
20    1.0    6.8    1    1           0.0          0.0           0.30941285      -0.037816689
21    0.0    7.5    1    1          10.0          0.0           0.36823858      0.039847783
22    1.0    7.5    1    1           0.0          0.0           0.36823651      -0.039747981
23    0.0    8.3    1    1          10.0          0.0           0.42966629      0.041457237
24    1.0    8.3    1    1           0.0          0.0           0.42966309      -0.041343158
25    0.0    9.0    1    1          10.0          0.0           0.49321623      0.04276189
26    1.0    9.0    1    1           0.0          0.0           0.49321191      -0.042634262
27    0.0    9.8    1    1          10.0          0.0           0.55845578      0.043793776
28    1.0    9.8    1    1           0.0          0.0           0.55845033      -0.04365335
29    0.0   10.5    1    1          10.0          0.0           0.62500038      0.044584938
30    1.0   10.5    1    1           0.0          0.0           0.62499381      -0.044432464
31    0.0   11.3    1    1          10.0          0.0           0.69251355      0.04516743
32    1.0   11.3    1    1           0.0          0.0           0.69250585      -0.045003647
33    0.0   12.0    1    1          10.0          0.0           0.76070687      0.045573293
34    1.0   12.0    1    1           0.0          0.0           0.76069804      -0.045398945
35    0.0   12.8    1    1          10.0          0.0           0.82933999      0.045834575
36    1.0   12.8    1    1           0.0          0.0           0.82933003      -0.045650406
37    0.0   13.5    1    1          10.0          0.0           0.89822063      0.045983327
38    1.0   13.5    1    1           0.0          0.0           0.89820954      -0.045790074
39    0.0   14.3    1    1          10.0          0.0           0.96720453      0.046051581
40    1.0   14.3    1    1           0.0          0.0           0.96719241      -0.045850007
41    0.0   15.0    1    1          10.0          0.0            1.0361978      0.046071931
42    1.0   15.0    1    1           0.0          0.0            1.0361801      -0.045861703
